Nature;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed
Hardy;1.0;1.0;1.0;1.0;1.0;1.0
Lonely;1.0;1.1;0.9;1.0;1.0;1.0
Brave;1.0;1.1;1.0;1.0;1.0;0.9
Adamant;1.0;1.1;1.0;0.9;1.0;1.0
Naughty;1.0;1.1;1.0;1.0;0.9;1.0
Bold;1.0;0.9;1.1;1.0;1.0;1.0
Docile;1.0;1.0;1.0;1.0;1.0;1.0
Relaxed;1.0;1.0;1.1;1.0;1.0;0.9
Impish;1.0;1.0;1.1;0.9;1.0;1.0
Lax;1.0;1.0;1.1;1.0;0.9;1.0
Timid;1.0;0.9;1.0;1.0;1.0;1.1
Hasty;1.0;1.0;0.9;1.0;1.0;1.1
Serious;1.0;1.0;1.0;1.0;1.0;1.0
Jolly;1.0;1.0;1.0;0.9;1.0;1.1
Naive;1.0;1.0;1.0;1.0;0.9;1.1
Modest;1.0;0.9;1.0;1.1;1.0;1.0
Mild;1.0;1.0;0.9;1.1;1.0;1.0
Quiet;1.0;1.0;1.0;1.1;1.0;0.9
Bashful;1.0;1.0;1.0;1.0;1.0;1.0
Rash;1.0;1.0;1.0;1.1;0.9;1.0
Calm;1.0;0.9;1.0;1.0;1.1;1.0
Gentle;1.0;1.0;0.9;1.0;1.1;1.0
Sassy;1.0;1.0;1.0;1.0;1.1;0.9
Careful;1.0;1.0;1.0;0.9;1.1;1.0
Quirky;1.0;1.0;1.0;1.0;1.0;1.0
